emp_id,item_code,quantity,sales_year,sales_week,item_code_year_quarter,sales_period_id
EMP244,PROD_001,42,2020,0,PROD_001_2020_1,53
EMP244,PROD_001,48,2020,1,PROD_001_2020_1,54
EMP244,PROD_001,38,2020,2,PROD_001_2020_1,55
EMP244,PROD_001,43,2020,3,PROD_001_2020_1,56
EMP244,PROD_001,35,2020,4,PROD_001_2020_1,57
EMP244,PROD_001,39,2020,5,PROD_001_2020_1,58
EMP244,PROD_001,36,2020,6,PROD_001_2020_1,59
EMP244,PROD_001,38,2020,7,PROD_001_2020_1,60
EMP244,PROD_001,49,2020,8,PROD_001_2020_1,61
EMP244,PROD_001,46,2020,9,PROD_001_2020_1,62
EMP244,PROD_001,44,2020,10,PROD_001_2020_1,63
EMP244,PROD_001,25,2020,11,PROD_001_2020_1,64
EMP244,PROD_001,43,2020,12,PROD_001_2020_1,65
EMP244,PROD_001,38,2020,13,PROD_001_2020_2,66
EMP244,PROD_001,34,2020,14,PROD_001_2020_2,67
EMP244,PROD_001,48,2020,15,PROD_001_2020_2,68
EMP244,PROD_001,52,2020,16,PROD_001_2020_2,69
EMP244,PROD_001,67,2020,17,PROD_001_2020_2,70
EMP244,PROD_001,52,2020,18,PROD_001_2020_2,71
EMP244,PROD_001,45,2020,19,PROD_001_2020_2,72
EMP244,PROD_001,64,2020,20,PROD_001_2020_2,73
EMP244,PROD_001,49,2020,21,PROD_001_2020_2,74
EMP244,PROD_001,48,2020,22,PROD_001_2020_2,75
EMP244,PROD_001,72,2020,23,PROD_001_2020_2,76
EMP244,PROD_001,64,2020,24,PROD_001_2020_2,77
EMP244,PROD_001,64,2020,25,PROD_001_2020_2,78
EMP244,PROD_001,30,2020,26,PROD_001_2020_3,79
EMP244,PROD_001,25,2020,27,PROD_001_2020_3,80
EMP244,PROD_001,43,2020,28,PROD_001_2020_3,81
EMP244,PROD_001,23,2020,29,PROD_001_2020_3,82
EMP244,PROD_001,29,2020,30,PROD_001_2020_3,83
EMP244,PROD_001,30,2020,31,PROD_001_2020_3,84
EMP244,PROD_001,31,2020,32,PROD_001_2020_3,85
EMP244,PROD_001,28,2020,33,PROD_001_2020_3,86
EMP244,PROD_001,34,2020,34,PROD_001_2020_3,87
EMP244,PROD_001,34,2020,35,PROD_001_2020_3,88
EMP244,PROD_001,36,2020,36,PROD_001_2020_3,89
EMP244,PROD_001,47,2020,37,PROD_001_2020_3,90
EMP244,PROD_001,24,2020,38,PROD_001_2020_3,91
EMP244,PROD_001,35,2020,39,PROD_001_2020_4,92
